Character Name,Total Revenue
Albedo,44573853
Alhaitham,35821788
Arataki Itto,53117341
Baizhu,9108580
Cyno,32250069
Dehya,13198046
Eula,36103644
Ganyu,67240636
Hu Tao,84264739
Kaedehara Kazuha,52075519
Kamisato Ayaka,88352096
Kamisato Ayato,60686585
Keqing,9505798
Klee,61022927
Lyney,11473539
Nahida,60121178
Nilou,43750915
Raiden Shogun,104500294
Sangonomiya Kokomi,16150606
Shenhe,52956430
Tartaglia,55671528
Tighnari,19068372
Venti,89066439
Wanderer,36256136
Xiao,80678525
Yae Miko,42701861
Yelan,90206836
Yoimiya,64204541
Zhongli,81368344
